Channel_Games,Viewers,Channels
60 Seconds,1610,2
7 Days to Die,998,96
A Bastards Tale,14593,4
A Hat in Time,1842,12
A Way Out,238,146
Aero Fighters 3,137,1
Age of Barbarian,669,1
Age of Empires II,2409,25
Aim Hero,657,1
AirMech,31728,10
Alice Madness Returns,402,3
Alien Isolation,453,5
Always On,988,11
American Truck Simulator,1101,20
Amnesia The Dark Descent,123,5
Angels of Death,359,1
Angvik,942,1
Animal Crossing New Leaf,748,5
Animal Crossing Pocket Camp,1615,1
Another Brick in the Mall,835,1
Ape Escape,813,1
ArcheAge,1145,70
Arena of Valor,2255,17
ARK,2438,214
Arma 3,1291,215
Armello,765,4
Armored Warfare,18,7
Arms,1426,5
Ashes of Creation,804,1
Astroneer,131,9
Atelier Lydie  Suelle The ,187,3
Atom FIshing 2,2547,2
Attack on Titan 2,455,4
Audition Online,801,1
Autumn Dream,908,1
Axiom Verge,3213,2
Bad Mojo Redux,7975,4
Band of Defenders,1103,5
BanG Dream Girls Band Party,1416,9
BanjoKazooie,610,5
Barbie and the Magic of Pegasus,15547,2
BATMAN  The Telltale Series,16593,11
Batman The Enemy Within  ,441,7
Battle Brothers,1711,4
BattleBlock Theater,1944,2
Battlefield 1,552,66
Battlefield 3,1688,5
Battlerite,517,37
BattleTech,1672,1
Battletoads,767,1
Bayonetta,1245,5
Bayonetta 2,543,1
BBO2 Online,786,2
Beautiful Katamari,1745,1
Beholder,1214,2
Ben and Ed Blood Party,1642,4
Billy Hatcher and the Giant Egg,21,1
BioShock,446,7
Bishoujo Senshi Sailo,2298,1
Black  White,942,1
Black Desert Mobile,2969,4
Black Desert Online,6162,245
Black Mesa,3605,2
Black Squad,719,25
Black Survival,520,6
Blackjack,1823,1
Blade and Soul,788,68
Blast Corps,333,1
BlazBlue Central Fiction,1292,3
BlazBlue Cross Tag Battle,2490,1
Bloodborne,193,162
Bloons TD 5,11801,5
Board Games,1526,4
Board Games Live,1115,2
Bomberman,4585,1
Bomberman 64,1177,1
Borderlands 2,6798,67
Bouncing Duck Simulator,1150,1
Boxing Fight,2297,2
BoxVR,2101,1
Brains Denshinou Kougeki Shirei,171,1
Bumpy,514,1
Burnout Paradise,1110,3
Bus Simulator 16,3401,1
Business Tour,2529,9
Call of Cthulhu Dark Corners,4962,3
Call Of Duty,559,14
Call Of Duty,754,173
Call Of Duty,2354,109
Cant Drive This,758,1
Car Mechanic Simulator 2018,2100,2
CASE Animatronics,3184,1
Casino,9340,40
Castlevania Aria of Sorrow,1774,1
Castlevania Legacy of Darkness,413,1
Castlevania Rondo of Blood,2277,1
Castlevania Symphony of the Night,428,2
Castlevania The Adventure ReBirth,739,1
Catan,3579,3
Cave Story,4691,3
Celeste,276,20
Chess,3887,26
Child of Eden,845,1
Child of Light,783,3
Choice Chamber,3122,4
Chrono Trigger,405,8
Chuchel,762,1
Cities Skylines,3394,20
Clash Royale,2345,30
Claw,1745,2
Clone Drone in the Danger Zone,6628,7
Closers Online,601,13
Clustertruck,2756,4
Cockin,1492,1
Company of Heroes 2,910,8
Contra ReBirth,735,1
CounterStrike Global Offensive,54162,1594
Crash Bandicoot Purple Riptos Rampage,2831,1
Crash Bandicoot Warped,1466,1
Crash Team Racing,642,2
Crea,345,1
Crossfire,10408,541
Crossout,519,8
Crusader Kings II,2460,21
Crusader of Centy,894,1
Cuphead,765,24
DanMachi Memoria Freese,474,6
Dark Souls,3708,72
Dark Souls II,166,8
Dark Souls II Scholar of the First Sin,765,16
Dark Souls III,1380,174
Darkest Dungeon,129,25
Darkwatch,1187,1
Darkwood,941,4
Darwin Project,450,38
Dauntless,823,8
DayZ,1271,79
DCS World,3685,3
Dead by Daylight,4946,361
Dead Cells,442,7
Dead Space,1453,13
Dead Space 2,3416,6
Death Coming,381,1
Deathgarden,10301,1
Deceit,2598,29
Demolish  Build 2018,24,1
Demons Souls,866,5
Densha De D Lightning Stage,2963,2
Deponia,434,1
Depth,16610,6
Destiny 2,3431,326
Devil May Cry 1  HD,433,1
Diablo II Lord of Destruction,1320,18
Diablo III Reaper of Souls,1407,151
Dino Crisis,985,2
Dino DDay,284,1
Distance,18959,4
Divinity Original Sin II,319,26
DJMAX Respect,430,8
Do You Copy,926,1
Dofus,1640,19
Doki Doki Literature Club,886,18
Donkey Kong Classics,2238,1
Dont Starve,1421,6
Dont Starve Together,394,22
Doom,670,16
Doom 3,6467,5
Doom II Hell on Earth,4778,3
Doom II RPG,759,1
DOTA2,4762,1363
Dragon Age Origins,1473,7
Dragon Ball FighterZ,186,73
Dragon Warrior II,338,1
Dragons Dogma Dark Arisen,459,4
Draw Something,826,3
Duke Nukem Forever,2206,2
Dungeon Fighter Online,3562,14
Dungeons  Dragons,1335,83
Dungeons  Dragons Shadow Over Mystara,853,1
Dungeons 3,900,2
Dungreed,3579,11
EA Sports UFC 3,1624,3
Earth Defense Forces 5,2880,1
Earthworm Jim 2,977,2
Eco,1185,8
El Matador,3289,2
Emily Wants to Play Too,6500,1
Empires Apart,459,1
Enlisted,4145,11
Enter the Gungeon,1169,11
Epistory,387,1
Escape From Tarkov,134,99
Euro Truck Simulator 2,716,91
Europa Universalis IV,1340,21
EVE Online,674,22
Everybodys Golf,553,4
Exanima,26432,2
F1 2017,1145,22
Fable II,995,1
Factorio,1152,52
Fallout 3,564,4
Fallout 4,328,43
Fallout New Vegas,151,23
Family GoKart Racing,728,1
Far Cry,1100,7
Far Cry 3 Blood Dragon,149,3
Far Cry 4,575,15
Far Cry 5,8190,695
Farm Manager 2018,18507,13
Farm Together,704,14
Farmers Dynasty,1515,1
Farming Simulator 17,1753,32
Fate of the World,840,1
FateGrand Order,419,20
FEAR First Encounter Assault Recon,392,3
Fernbus Coach Simulator,1423,1
Fez,117,2
FIFA 17,18527,249
Fight Night Champion,1779,1
Final Fantasy Crystal Chronicl,724,1
Final Fantasy IX,337,6
Final Fantasy VI,981,12
Final Fantasy VII,1897,15
Final Fantasy X,1528,5
FINAL FANTASY XIV Online,971,123
Final Fantasy XV,2736,67
Fire Emblem Mobile,191,2
Fishing Planet,253,4
Fluidity,699,1
Food Mahjong,2429,1
Football Manager 2018,777,13
For Honor,476,37
Foreveracers,2545,5
Fortnite,142781,15403
Forza Motorsport 7,1489,11
FoxTail,12384,4
Free Fire Battlegrounds,3111,15
Freestyle Street Basketball 2,155,2
Friday the 13th The Game,1191,32
Friends Marble,365,2
Frostpunk,849,1
FTL Faster Than Light,885,5
Fun N Games,1192,1
Furi,240,5
Fútbol,1207,2
Galaga,595,1
Game Dev Tycoon,1533,2
Games  Demos,5662,56
Gang Beasts,2455,9
Garrys Mod,1856,31
Gartic,5655,3
Gears of War 4,8643,30
GeoGuessr,1701,7
Geometry Dash,131,21
Get Wrecked,15765,2
GetAmped,608,1
Getting Over It,551,9
Ghost of a Tale,2872,12
Girls Frontline,425,19
Girls und Panzer Dream Tank Match,1168,1
God of War,17682,10
God of War Ascension,770,3
God of War II,13994,5
God of War III,913,3
Gods Will Be Watching,1480,1
Gold Rush The Game,768,4
Golden Sun The Lost Age,652,1
GoldenEye 007,526,2
GoldenEye Source,2752,2
Golf,495,1
Golf It,2257,1
Golf With Your Friends,1867,19
Golfing Over It with Alva Majo,3551,21
Goof Troop,2241,1
Gran Turismo Sport,4265,8
Grand Theft Auto,1958,1
Grand Theft Auto 2,912,1
Grand Theft Auto Advance,1892,1
Grand Theft Auto Chinatown Wars,980,1
Grand Theft Auto Episodes from Liberty City,1509,1
Grand Theft Auto III,969,4
Grand Theft Auto IV,814,5
