Esport_Games,Revenue,Players,Tournaments
Age of Empires,27588,66,14
Age of Empires II The Age of Kings,64013,122,20
Age of Empires III,100,1,1
Arcana Heart 3 LOVE MAX,200,3,1
Arena of Valor,470000,10,4
Arms,3197,30,13
Battlerite,23541,42,35
Blade  Soul,149772,24,1
BlazBlue Central Fiction,21690,36,7
Brawlhalla,170640,156,59
Fortnite,4027894,298,72
Call Of Duty,271000,60,21
Capcom vs SNK 2,470,3,1
Catherine,570,5,2
Chaos Code New Sign of Catastrophe,140,3,1
Clash of Clans,1576,2,1
Clash Royale,759828,59,8
ComPet,2000,50,1
CounterStrike Global Offensive,19252556,4753,894
Critical Ops,10106,4,2
Crossfire,1503142,164,34
Dead or Alive 5 Last Round,1360,3,1
Dengeki Bunko Fighting Climax Ignition,270,3,1
Doom 3,7000,6,1
DOTA2,38027445,959,158
FIFA 17,1432024,119,38
FIFA 18,46049,44,7
FIFA Online 3,342023,46,2
Gears of War 4,1024000,77,14
Guilty Gear Xrd REV 2,28350,31,6
Guilty Gear Xrd REVELATOR,627,10,3
Guilty Gear XX Accent Core Plus R,340,3,1
Gundam Versus,280,6,1
Gwent,302906,272,88
H1Z1,1551550,88,8
HALO5,1748000,99,14
Hand of the Gods,37600,38,25
Hearthstone,3448431,644,111
Heavy Metal Machines,12339,35,1
Heroes of Newerth,117046,20,2
Heroes of the Storm,4783332,374,31
Injustice 2,498370,30,9
KartRider,76160,33,2
Killer Instinct 2013,42910,39,5
King of Fighters XIV,21738,35,8
Koihime Enbu,190,3,1
League Of Legends,12045716,1651,152
Mad Skills Motocross 2,20163,12,1
Madden NFL 18,20676,9,2
Madden NFL 2017,904000,39,4
Marvel vs Capcom Infinite,3920,14,3
Melty Blood Actress Again Current Code,520,8,1
Mortal Kombat X,2290,16,4
NHL 94,321,7,3
osu,7560,499,3
OverWatch,3408254,1472,259
Paladins,357026,108,18
Persona 4 Arena Ultimax,300,3,1
PLAYERUNKNOWNS BATTLEGROUNDS,1007803,193,14
Point Blank,121570,78,4
Pokkn Tournament,35545,28,8
Pokkn Tournament DX,6029,11,3
Pokmon VGC,5000,8,1
Power Rangers Legacy Wars,4178,2,1
Pro Evolution Soccer 2017,510000,16,5
Project Cars,5280,0,1
Project M,21713,91,19
Puyo Puyo Tetris,240,3,1
Quake Champions,1468942,126,50
Quake II,10000,3,1
Quake Live,10492,21,19
QuakeWorld,5000,3,1
Rage,5000,3,1
Rainbow Six Siege,762350,196,14
rFactor2,1000000,30,1
Rivals of Aether,14100,13,3
Rocket League,1379632,217,66
SKILL  Special Force 2,1000,0,1
Skullgirls 2nd Encore,4180,13,2
Smite,1242900,143,8
Soul Calibur II HD Online,650,8,1
Soul Calibur V,120,2,1
Splatoon 2,2300,0,2
StarCraft Brood War,368597,82,49
StarCraft II,3386454,350,612
Street Fighter III 3rd Strike,2958,3,2
Street Fighter V,1123538,133,38
Super Smash Bros,13273,87,19
Super Smash Bros Brawl,3401,26,7
Super Smash Bros for Wii U,470008,370,200
Super Smash Bros Melee,615164,416,275
Super Street Fighter II Turbo,2490,16,4
Team Fortress 2,70331,108,13
Tekken 7,164749,63,12
The Elder Scrolls Legends,5000,3,1
TrackMania 2 Stadium,742,3,1
Ultimate Marvel vs Capcom 3,10330,21,6
Ultra Street Fighter IV,250,3,1
Under Night InBirth EXE Latest,3040,15,3
Vain Glory,179400,101,10
Vampire Savior,910,8,1
WarCraft III,233223,67,127
Wolfenstein Enemy Territory,4493,23,2
World of Tanks,700000,98,3
World of Tanks Blitz,30000,14,1
World of WarCraft,620000,74,15
Xonotic,249,8,3
YuGiOh Duel Links,13506,143,86
